Q R dR
0.008 0.458508722113 0.0157865545007
0.00900001 0.401745669812 0.0138990486551
0.01 0.340775516657 0.0123850743464
0.011 0.312012110959 0.0111525629711
0.012 0.258827377311 0.0101317489102
0.013 0.223766393608 0.00927411752625
0.014 0.190612980355 0.00854481994102
0.015 0.152125592623 0.00791811898445
0.016 0.118839622004 0.00737457448659
0.017 0.0959209757626 0.00689922046781
0.018 0.0854522070957 0.00648034888439
0.019 0.0703016393835 0.00610867699086
0.02 0.0591664937441 0.00577676258038
0.021 0.0409258379505 0.00547858227444
0.0219999 0.0333330333457 0.00520924549737
0.023 0.0293339296765 0.00496463423618
0.0240001 0.0090664730808 0.00474145855474
0.025 0.00862550657865 0.0045370384405
0.0273999 0.00528103787142 0.00410915307078
0.0298 0.000187092706017 0.0037513485066
0.0321999 -0.00176460249987 0.0034470401796
0.0346 -0.000115035980712 0.0031844564339
0.037 -0.00245606886975 0.00295520673356
0.0394 0.00314623034997 0.00275306681961
0.0418 -0.000969703882674 0.00257334762847
0.0441999 -0.000899888321713 0.00241243999696
0.0466001 -0.00174874579001 0.0022674771662
0.0489999 0.00223295327482 0.00213622784401
0.0513999 0.00241923259095 0.00201681187007
0.0537999 -0.00309273138342 0.0019077214366
0.0562001 0.00344452189728 0.00180768321221
0.0586 0.00152352630488 0.00171565309905
0.061 0.00117334046185 0.00163071198633
0.0634 0.00118385686192 0.00155209292213
0.0657999 -0.00198965610309 0.00147913673782
0.0682 -0.00127287468565 0.00141126323957
0.0706001 0.00169671543563 0.00134798330618
0.073 -2.83990340634e-05 0.00128887027903
0.0753999 0.00196972894768 0.00123354136837
0.0778 3.01017160413e-06 0.00118166069097
0.0801999 -0.000863168169285 0.00113294385984
0.0826001 -0.000524475740458 0.00108712075079
0.0849999 0.000304659465147 0.00104397256476
0.0874001 -0.000389319746864 0.00100327708117
0.0898 -0.00152647190009 0.000964859448785
0.0922 0.00026650312227 0.000928544337918
0.0946 -0.000970401348733 0.000894180743429
0.097 -0.000881890793741 0.000861630122677
0.0994 -0.000349271220359 0.000830766450802
0.1018 0.000748937686318 0.000801474858918
0.1042 -0.000766229122018 0.000773650452736
0.1066 0.00124036898985 0.000747197273357
0.109 -5.77244582621e-05 0.000722027370301
0.1114 -0.00077675391796 0.000698059969776
0.1138 0.000123981541311 0.00067522072864
0.1162 0.000446247337245 0.000653441069086
0.1186 0.000484887458786 0.00063265759461
0.121 0.000371285106023 0.000612811583942
0.1234 0.000165278600356 0.000593848557686
0.1258 0.000647035594382 0.000575717908992
0.1282 7.70405375485e-05 0.000558372585368
0.1306 0.00025819957291 0.000541768808727
0.133 0.000421341927554 0.000525865821474
0.1354 -0.000136697172007 0.0005106256498
0.1378 0.000242785496271 0.000496012879389
0.1402 0.000573597284928 0.000481994442767
0.1426 -0.000781167622611 0.000468539420047
0.145 -0.000419821849664 0.000455618856657
0.1474 -0.000509944657281 0.000443205600568
0.1498 0.000211947499562 0.000431274160167
0.1522 -0.00104603857806 0.000419800581961
0.1546 4.69586333192e-07 0.000408762344843
0.157 -0.000547921470106 0.000398138266727
0.1594 0.00027211860908 0.000387908419545
0.1618 0.000536914046632 0.000378054048528
0.1642 0.00050571925571 0.000368557494206
0.1666 -0.000417556412451 0.000359402116581
0.169 -0.000331476738927 0.000350572222265
0.1714 0.000397902431754 0.000342052996097
0.1738 -0.000157757176216 0.000333830438576
0.1762 0.000302824738005 0.000325891309851
0.1786 0.000632798233114 0.000318223080174
0.181 -0.000258682479397 0.000310813885991
0.1834 0.000206792281591 0.000303652490341
0.1858 -0.000327542853608 0.000296728246294
0.1882 -3.04299873464e-05 0.000290031062392
0.1906 -5.60927900916e-05 0.000283551369563
0.193 0.000252928850428 0.000277280089422
0.1954 -7.83234211941e-05 0.000271208604184
0.1978 -0.000193479592358 0.000265328728474
0.2002 0.000766543069072 0.000259632683262
0.2026 0.000541601611377 0.000254113071927
0.205 -3.82140129419e-05 0.000248762858277
0.2074 3.7684945605e-05 0.000243575346222
0.2098 2.49651371702e-05 0.000238544160802
0.2122 -0.00021715308735 0.000233663230283
0.2146 -8.39237721629e-05 0.000228926769221
0.217 0.000239356253781 0.000224329262433
0.2194 0.000131885936039 0.000219865449943
0.221799 9.61305276546e-05 0.000215532093111
0.2242 -1.01561379332e-05 0.000211319060723
0.226601 0.000223645577136 0.000207225438083
0.228999 0.000160879387028 0.000203251751412
0.231399 0.000185843982184 0.00019938547089
0.233799 -3.55990289883e-05 0.000195625967845
0.236199 -2.23332572564e-05 0.000191969427563
0.238601 0.000145981649735 0.000188409277802
0.241 0.000100358401554 0.000184949376951
0.243399 -9.45182499502e-05 0.000181581880252
0.2458 8.46818226601e-06 0.000178300895163
0.248199 -0.000113168629859 0.000175108823403
0.2506 -0.000192320953915 0.000171997402522
