# z rho mu P theta
191.048 4.43609e-06 0 0 270
191.548 4.43609e-06 0 0 270
191.548 4.43681e-06 0 0 270
192.048 4.43681e-06 0 0 270
192.048 4.43564e-06 0 0 270
192.548 4.43564e-06 0 0 270
192.548 4.43455e-06 0 0 270
193.048 4.43455e-06 0 0 270
193.048 4.43319e-06 0 0 270
193.548 4.43319e-06 0 0 270
193.548 4.43128e-06 0 0 270
194.048 4.43128e-06 0 0 270
194.048 4.42852e-06 0 0 270
194.548 4.42852e-06 0 0 270
194.548 4.42455e-06 0 0 270
195.048 4.42455e-06 0 0 270
195.048 4.41891e-06 0 0 270
195.548 4.41891e-06 0 0 270
195.548 4.41105e-06 0 0 270
196.048 4.41105e-06 0 0 270
196.048 4.40026e-06 0 0 270
196.548 4.40026e-06 0 0 270
196.548 4.3857e-06 0 0 270
197.048 4.3857e-06 0 0 270
197.048 4.36636e-06 0 0 270
197.548 4.36636e-06 0 0 270
197.548 4.34112e-06 0 0 270
198.048 4.34112e-06 0 0 270
198.048 4.30873e-06 0 0 270
198.548 4.30873e-06 0 0 270
198.548 4.26786e-06 0 0 270
199.048 4.26786e-06 0 0 270
199.048 4.21717e-06 0 0 270
199.548 4.21717e-06 0 0 270
199.548 4.15536e-06 0 0 270
200.048 4.15536e-06 0 0 270
200.048 4.08127e-06 0 0 270
200.548 4.08127e-06 0 0 270
200.548 3.99421e-06 0 0 270
201.048 3.99421e-06 0 0 270
201.048 3.89279e-06 0 0 270
201.548 3.89279e-06 0 0 270
201.548 3.77757e-06 0 0 270
202.048 3.77757e-06 0 0 270
202.048 3.64856e-06 0 0 270
202.548 3.64856e-06 0 0 270
202.548 3.50654e-06 0 0 270
203.048 3.50654e-06 0 0 270
203.048 3.35283e-06 0 0 270
203.548 3.35283e-06 0 0 270
203.548 3.18922e-06 0 0 270
204.048 3.18922e-06 0 0 270
204.048 3.01797e-06 0 0 270
204.548 3.01797e-06 0 0 270
204.548 2.84164e-06 0 0 270
205.048 2.84164e-06 0 0 270
205.048 2.66296e-06 0 0 270
205.548 2.66296e-06 0 0 270
205.548 2.48473e-06 0 0 270
206.048 2.48473e-06 0 0 270
206.048 2.30961e-06 0 0 270
206.548 2.30961e-06 0 0 270
206.548 2.13997e-06 0 0 270
207.048 2.13997e-06 0 0 270
207.048 1.9778e-06 0 0 270
207.548 1.9778e-06 0 0 270
207.548 1.82457e-06 0 0 270
208.048 1.82457e-06 0 0 270
208.048 1.68125e-06 0 0 270
208.548 1.68125e-06 0 0 270
208.548 1.54821e-06 0 0 270
209.048 1.54821e-06 0 0 270
209.048 1.42534e-06 0 0 270
209.548 1.42534e-06 0 0 270
209.548 1.31208e-06 0 0 270
210.048 1.31208e-06 0 0 270
210.048 1.20754e-06 0 0 270
210.548 1.20754e-06 0 0 270
210.548 1.1106e-06 0 0 270
211.048 1.1106e-06 0 0 270
211.048 1.02004e-06 0 0 270
211.548 1.02004e-06 0 0 270
211.548 9.34663e-07 0 0 270
212.048 9.34663e-07 0 0 270
212.048 8.53362e-07 0 0 270
212.548 8.53362e-07 0 0 270
212.548 7.75221e-07 0 0 270
213.048 7.75221e-07 0 0 270
213.048 6.99546e-07 0 0 270
213.548 6.99546e-07 0 0 270
213.548 6.25891e-07 0 0 270
214.048 6.25891e-07 0 0 270
214.048 5.54046e-07 0 0 270
214.548 5.54046e-07 0 0 270
214.548 4.84016e-07 0 0 270
215.048 4.84016e-07 0 0 270
215.048 4.15977e-07 0 0 270
215.548 4.15977e-07 0 0 270
215.548 3.50229e-07 0 0 270
216.048 3.50229e-07 0 0 270
216.048 2.87141e-07 0 0 270
216.548 2.87141e-07 0 0 270
216.548 2.27101e-07 0 0 270
217.048 2.27101e-07 0 0 270
217.048 1.70473e-07 0 0 270
217.548 1.70473e-07 0 0 270
217.548 1.17563e-07 0 0 270
218.048 1.17563e-07 0 0 270
218.048 6.77384e-08 0 0 270
218.548 6.77384e-08 0 0 270
218.548 2.16123e-08 0 0 270
219.048 2.16123e-08 0 0 270
219.048 -2.06392e-08 0 0 270
219.548 -2.06392e-08 0 0 270
219.548 -5.90789e-08 0 0 270
220.048 -5.90789e-08 0 0 270
220.048 -9.38543e-08 0 0 270
220.548 -9.38543e-08 0 0 270
220.548 -1.2518e-07 0 0 270
221.048 -1.2518e-07 0 0 270
221.048 -1.49269e-07 0 0 270
221.548 -1.49269e-07 0 0 270
221.548 -1.64312e-07 0 0 270
222.048 -1.64312e-07 0 0 270
222.048 -1.77411e-07 0 0 270
222.548 -1.77411e-07 0 0 270
222.548 -1.8879e-07 0 0 270
223.048 -1.8879e-07 0 0 270
223.048 -1.98653e-07 0 0 270
223.548 -1.98653e-07 0 0 270
223.548 -2.07177e-07 0 0 270
224.048 -2.07177e-07 0 0 270
224.048 -2.14512e-07 0 0 270
224.548 -2.14512e-07 0 0 270
224.548 -2.2078e-07 0 0 270
225.048 -2.2078e-07 0 0 270
225.048 -2.26069e-07 0 0 270
225.548 -2.26069e-07 0 0 270
225.548 -2.30441e-07 0 0 270
226.048 -2.30441e-07 0 0 270
226.048 -2.33932e-07 0 0 270
226.548 -2.33932e-07 0 0 270
226.548 -2.36556e-07 0 0 270
227.048 -2.36556e-07 0 0 270
227.048 -2.38303e-07 0 0 270
227.548 -2.38303e-07 0 0 270
227.548 -2.3915e-07 0 0 270
228.048 -2.3915e-07 0 0 270
228.048 -2.39053e-07 0 0 270
228.548 -2.39053e-07 0 0 270
228.548 -2.37955e-07 0 0 270
229.048 -2.37955e-07 0 0 270
229.048 -2.35783e-07 0 0 270
229.548 -2.35783e-07 0 0 270
229.548 -2.3245e-07 0 0 270
230.048 -2.3245e-07 0 0 270
230.048 -2.27847e-07 0 0 270
230.548 -2.27847e-07 0 0 270
230.548 -2.21848e-07 0 0 270
231.048 -2.21848e-07 0 0 270
231.048 -2.14303e-07 0 0 270
231.548 -2.14303e-07 0 0 270
231.548 -2.05039e-07 0 0 270
232.048 -2.05039e-07 0 0 270
232.048 -1.93853e-07 0 0 270
232.548 -1.93853e-07 0 0 270
232.548 -1.80512e-07 0 0 270
233.048 -1.80512e-07 0 0 270
233.048 -1.64754e-07 0 0 270
233.548 -1.64754e-07 0 0 270
233.548 -1.35082e-07 0 0 270
234.048 -1.35082e-07 0 0 270
234.048 -7.28125e-08 0 0 270
234.548 -7.28125e-08 0 0 270
234.548 1.21953e-09 0 0 270
235.048 1.21953e-09 0 0 270
235.048 8.80317e-08 0 0 270
235.548 8.80317e-08 0 0 270
235.548 1.88141e-07 0 0 270
236.048 1.88141e-07 0 0 270
236.048 3.0219e-07 0 0 270
236.548 3.0219e-07 0 0 270
236.548 4.30705e-07 0 0 270
237.048 4.30705e-07 0 0 270
237.048 5.73916e-07 0 0 270
237.548 5.73916e-07 0 0 270
237.548 7.31714e-07 0 0 270
238.048 7.31714e-07 0 0 270
238.048 9.03623e-07 0 0 270
238.548 9.03623e-07 0 0 270
238.548 1.08878e-06 0 0 270
239.048 1.08878e-06 0 0 270
239.048 1.28597e-06 0 0 270
239.548 1.28597e-06 0 0 270
239.548 1.49359e-06 0 0 270
240.048 1.49359e-06 0 0 270
240.048 1.70978e-06 0 0 270
240.548 1.70978e-06 0 0 270
240.548 1.93243e-06 0 0 270
241.048 1.93243e-06 0 0 270
241.048 2.15927e-06 0 0 270
241.548 2.15927e-06 0 0 270
