Q R dR
0.008 1.0 0.0
0.00900001 1.0 0.0
0.01 1.0 0.0
0.011 1.0 0.0
0.012 1.0 0.0
0.013 1.0 0.0
0.014 0.94369 0.0
0.015 0.252288 0.0
0.016 0.0738503 0.0
0.017 0.0471795 0.0
0.018 0.0428919 0.0
0.019 0.0419564 0.0
0.02 0.0410685 0.0
0.021 0.0395288 0.0
0.0219999 0.0372987 0.0
0.023 0.0345206 0.0
0.0240001 0.0313758 0.0
0.025 0.0280449 0.0
0.0273999 0.0200947 0.0
0.0298 0.0132363 0.0
0.0321999 0.00809692 0.0
0.0346 0.00475428 0.0
0.037 0.00293663 0.0
0.0394 0.00220969 0.0
0.0418 0.00212119 0.0
0.0441999 0.00229292 0.0
0.0466001 0.00246417 0.0
0.0489999 0.00249662 0.0
0.0513999 0.00235416 0.0
0.0537999 0.00206991 0.0
0.0562001 0.00171106 0.0
0.0586 0.001349 0.0
0.061 0.00103879 0.0
0.0634 0.000809688 0.0
0.0657999 0.000665021 0.0
0.0682 0.000588755 0.0
0.0706001 0.0005551 0.0
0.073 0.000537804 0.0
0.0753999 0.000516939 0.0
0.0778 0.000482095 0.0
0.0801999 0.000432173 0.0
0.0826001 0.000372717 0.0
0.0849999 0.000312216 0.0
0.0874001 0.000258548 0.0
0.0898 0.000216649 0.0
0.0922 0.000187577 0.0
0.0946 0.000169051 0.0
0.097 0.000156836 0.0
0.0994 0.00014643 0.0
0.1018 0.000134456 0.0
0.1042 0.000119421 0.0
0.1066 0.000101749 0.0
0.109 8.32151e-05 0.0
0.1114 6.60737e-05 0.0
0.1138 5.22287e-05 0.0
0.1162 4.26388e-05 0.0
0.1186 3.71461e-05 0.0
0.121 3.46667e-05 0.0
0.1234 3.36375e-05 0.0
0.1258 3.25367e-05 0.0
0.1282 3.03064e-05 0.0
0.1306 2.65697e-05 0.0
0.133 2.16083e-05 0.0
0.1354 1.61523e-05 0.0
0.1378 1.10712e-05 0.0
0.1402 7.08133e-06 0.0
0.1426 4.54737e-06 0.0
0.145 3.42779e-06 0.0
0.1474 3.35075e-06 0.0
0.1498 3.77724e-06 0.0
0.1522 4.18643e-06 0.0
0.1546 4.22193e-06 0.0
0.157 3.76351e-06 0.0
0.1594 2.90997e-06 0.0
0.1618 1.89934e-06 0.0
0.1642 9.99475e-07 0.0
0.1666 4.09372e-07 0.0
0.169 2.01013e-07 0.0
0.1714 3.14399e-07 0.0
0.1738 5.98155e-07 0.0
0.1762 8.75463e-07 0.0
0.1786 1.0095e-06 0.0
0.181 9.46056e-07 0.0
0.1834 7.2206e-07 0.0
0.1858 4.41316e-07 0.0
0.1882 2.29231e-07 0.0
0.1906 1.84499e-07 0.0
0.193 3.44156e-07 0.0
0.1954 6.72585e-07 0.0
0.1978 1.07624e-06 0.0
0.2002 1.43685e-06 0.0
0.2026 1.65087e-06 0.0
0.205 1.662e-06 0.0
0.2074 1.47771e-06 0.0
0.2098 1.1627e-06 0.0
0.2122 8.17251e-07 0.0
0.2146 5.4478e-07 0.0
0.217 4.21121e-07 0.0
0.2194 4.73741e-07 0.0
0.221799 6.76798e-07 0.0
0.2242 9.6271e-07 0.0
0.226601 1.24357e-06 0.0
0.228999 1.43802e-06 0.0
0.231399 1.49411e-06 0.0
0.233799 1.40033e-06 0.0
0.236199 1.18614e-06 0.0
0.238601 9.09807e-07 0.0
0.241 6.4104e-07 0.0
0.243399 4.38759e-07 0.0
0.2458 3.29798e-07 0.0
0.248199 2.96204e-07 0.0
0.2506 2.99276e-07 0.0
